,154445,,,,36.85,-120.46,-8,40,-8,c,w/m2,w/m2
2006,1,4,16,0,52,404,116,4.085113525,13.14812622,1005,108,1
2006,1,4,17,0,0,0,0,2.769683838,11.81154785,1005,107,1
2006,1,4,18,0,0,0,0,2.373596191,11.40889893,1006,111,1
2006,1,4,19,0,0,0,0,2.176055908,11.20809326,1006,120,2
2006,1,4,20,0,0,0,0,2.158508301,11.190271,1006,129,2
2006,1,4,21,0,0,0,0,2.166992188,11.19887695,1006,138,2
2006,1,4,22,0,0,0,0,2.173461914,11.20546875,1006,145,2
2006,1,4,23,0,0,0,0,2.088470459,11.119104,1005,152,2
2006,1,5,0,0,0,0,0,1.860626221,10.88753662,1005,157,2
2006,1,5,1,0,0,0,0,1.489196777,10.50991211,1005,153,2
2006,1,5,2,0,0,0,0,1.140197754,10.15511475,1005,145,2
2006,1,5,3,0,0,0,0,1.049560547,10.06304321,1004,139,2
2006,1,5,4,0,0,0,0,1.121612549,10.13637695,1004,139,2
2006,1,5,5,0,0,0,0,1.197937012,10.21404419,1004,143,2
2006,1,5,6,0,0,0,0,1.235717773,10.25240479,1004,148,3
2006,1,5,7,0,0,0,0,1.753417969,10.77871094,1004,154,3
2006,1,5,8,0,24,0,24,3.837615967,12.89675293,1005,160,3
2006,1,5,9,0,96,333,188,5.728240967,14.81691895,1005,164,2
2006,1,5,10,0,162,268,269,7.508453369,16.6244751,1005,165,2
2006,1,5,11,0,187,374,365,9.300994873,18.44423828,1004,159,2
2006,1,5,12,0,135,633,457,10.61602783,19.77926025,1003,152,2
2006,1,5,13,0,170,482,406,10.98477173,20.15358887,1003,148,1
2006,1,5,14,0,96,666,377,10.52050781,19.68233643,1002,149,1
2006,1,5,15,0,86,515,246,9.359832764,18.5041748,1002,147,0
2006,1,5,16,0,55,400,120,6.513153076,15.61431274,1002,129,0
2006,1,5,17,0,0,0,0,5.031311035,14.10964355,1002,94,0
2006,1,5,18,0,0,0,0,4.356506348,13.42424927,1002,95,0
2006,1,5,19,0,0,0,0,3.875305176,12.93544922,1002,108,0
2006,1,5,20,0,0,0,0,3.470855713,12.52462158,1001,134,0
2006,1,5,21,0,0,0,0,3.060424805,12.10759888,1002,174,0
2006,1,5,22,0,0,0,0,2.612579346,11.65252075,1001,214,0
2006,1,5,23,0,0,0,0,2.122802734,11.15474854,1001,244,0
2006,1,6,0,0,0,0,0,1.590240479,10.61348877,1001,256,0
2006,1,6,1,0,0,0,0,1.048370361,10.06252441,1001,255,0
2006,1,6,2,0,0,0,0,0.58102417,9.587304688,1000,230,0
2006,1,6,3,0,0,0,0,0.168060303,9.167352295,999,171,0
2006,1,6,4,0,0,0,0,-0.182098389,8.811120605,999,157,0
2006,1,6,5,0,0,0,0,-0.437774658,8.551049805,999,156,1
2006,1,6,6,0,0,0,0,-0.61340332,8.372277832,999,158,2
2006,1,6,7,0,0,0,0,-0.093566895,8.901269531,999,156,2
2006,1,6,8,0,19,0,19,2.910583496,11.95577393,999,155,2
2006,1,6,9,0,97,0,97,5.159393311,14.24016724,999,155,2
2006,1,6,10,0,154,24,163,7.339660645,16.45391235,998,155,1
2006,1,6,11,0,197,42,217,9.50112915,18.64818726,997,155,1
2006,1,6,12,0,189,16,197,10.83416748,20.00139771,996,162,1
2006,1,6,13,0,185,18,195,11.34677124,20.52181396,995,175,1
2006,1,6,14,0,173,44,192,11.07369995,20.24471436,994,195,0
2006,1,6,15,0,114,11,118,9.829467773,18.98180542,994,233,0
2006,1,6,16,0,56,403,122,6.782623291,15.8890625,993,282,0
2006,1,6,17,0,0,0,0,5.120635986,14.20165405,993,299,1
2006,1,6,18,0,0,0,0,4.294403076,13.36257324,993,297,1
2006,1,6,19,0,0,0,0,3.500091553,12.55565796,993,290,2
2006,1,6,20,0,0,0,0,2.686584473,11.72915039,993,282,2
2006,1,6,21,0,0,0,0,1.730133057,10.7569519,994,278,3
2006,1,6,22,0,0,0,0,0.680053711,9.689263916,994,278,3
2006,1,6,23,0,0,0,0,-0.22958374,8.763787842,994,280,3
2006,1,7,0,0,0,0,0,-0.812164307,8.170800781,995,284,3
2006,1,7,1,0,0,0,0,-0.843322754,8.139001465,995,289,3
2006,1,7,2,0,0,0,0,-0.554107666,8.433221436,996,294,3
2006,1,7,3,0,0,0,0,-0.240814209,8.752038574,996,296,2
2006,1,7,4,0,0,0,0,0.124420166,9.123590088,996,297,2
2006,1,7,5,0,0,0,0,0.310699463,9.313012695,996,294,2
2006,1,7,6,0,0,0,0,0.282653809,9.284295654,997,291,2
2006,1,7,7,0,0,0,0,0.398986816,9.402490234,998,291,2
2006,1,7,8,0,44,304,81,1.469299316,10.49077759,999,294,2
2006,1,7,9,0,80,578,240,2.669769287,11.71083984,1000,298,2
2006,1,7,10,0,98,706,381,3.884185791,12.94466553,1001,303,2
2006,1,7,11,0,108,768,477,4.756408691,13.83068237,1000,306,2
2006,1,7,12,0,112,790,517,5.464904785,14.55022583,1000,310,2
2006,1,7,13,0,110,779,495,6.109222412,15.20452271,1000,313,3
2006,1,7,14,0,102,730,414,5.791351318,14.88173828,1000,317,3
2006,1,7,15,0,86,626,283,4.909454346,13.98616943,1000,321,3
2006,1,7,16,0,57,405,125,2.896453857,11.94124756,1000,322,2
2006,1,7,17,0,0,0,0,1.429626465,10.45025024,1000,324,3
2006,1,7,18,0,0,0,0,0.680938721,9.688806152,1001,325,3
2006,1,7,19,0,0,0,0,0.064605713,9.061700439,1001,323,3
2006,1,7,20,0,0,0,0,-0.49005127,8.497125244,1002,321,3
2006,1,7,21,0,0,0,0,-1.038726807,7.938562012,1002,319,3
2006,1,7,22,0,0,0,0,-1.501831055,7.467004395,1002,318,3
2006,1,7,23,0,0,0,0,-1.834960938,7.127618408,1002,321,3
2006,1,8,0,0,0,0,0,-2.215789795,6.73961792,1002,322,3
2006,1,8,1,0,0,0,0,-2.104095459,6.853448486,1002,317,3
2006,1,8,2,0,0,0,0,-2.032470703,6.926385498,1002,312,2
2006,1,8,3,0,0,0,0,-2.26159668,6.693017578,1002,311,2
2006,1,8,4,0,0,0,0,-2.464355469,6.486352539,1002,312,2
2006,1,8,5,0,0,0,0,-2.520690918,6.428826904,1003,313,2
2006,1,8,6,0,0,0,0,-2.723846436,6.221673584,1003,312,2
2006,1,8,7,0,0,0,0,-2.559997559,6.388604736,1003,310,2
2006,1,8,8,0,45,303,81,-1.553009033,7.41451416,1004,308,2
2006,1,8,9,0,80,577,241,-0.10635376,8.887261963,1004,307,2
2006,1,8,10,0,99,705,382,2.196044922,11.22878418,1004,314,3
2006,1,8,11,0,109,766,478,4.482299805,13.55196533,1002,319,3
2006,1,8,12,0,220,302,375,5.333709717,14.41680298,1001,321,3
2006,1,8,13,0,197,371,382,5.523681641,14.60976563,1001,324,3
2006,1,8,14,0,103,730,416,5.050842285,14.12957153,1001,326,3
2006,1,8,15,0,87,627,286,3.808990479,12.86818848,1001,324,3
2006,1,8,16,0,58,408,127,1.605804443,10.62911377,1002,319,3
2006,1,8,17,0,0,0,0,0.039978027,9.036431885,1002,319,4
2006,1,8,18,0,0,0,0,-0.728485107,8.254296875,1003,320,4
2006,1,8,19,0,0,0,0,-1.341278076,7.630303955,1003,319,4
2006,1,8,20,0,0,0,0,-1.805175781,7.157769775,1003,320,3
2006,1,8,21,0,0,0,0,-2.15045166,6.805993652,1003,321,3
2006,1,8,22,0,0,0,0,-2.446838379,6.503930664,1003,323,3
2006,1,8,23,0,0,0,0,-2.644470215,6.302606201,1003,325,2
2006,1,9,0,0,0,0,0,-2.698699951,6.24730835,1003,326,2
2006,1,9,1,0,0,0,0,-2.943847656,5.997399902,1003,324,2
2006,1,9,2,0,0,0,0,-3.23324585,5.702203369,1003,321,2
2006,1,9,3,0,0,0,0,-3.428039551,5.503594971,1003,319,2
2006,1,9,4,0,0,0,0,-3.616027832,5.311853027,1003,321,2
2006,1,9,5,0,0,0,0,-3.787628174,5.136743164,1003,326,2
2006,1,9,6,0,0,0,0,-3.899810791,5.022210693,1003,333,1
2006,1,9,7,0,0,0,0,-3.282958984,5.651422119,1003,339,1
2006,1,9,8,0,46,309,83,-0.095123291,8.898675537,1004,0,0
2006,1,9,9,0,82,587,245,2.899627686,11.94381104,1004,92,0
2006,1,9,10,0,101,716,389,5.351074219,14.43410645,1004,119,0
2006,1,9,11,0,111,778,487,7.352020264,16.46587524,1003,126,0
2006,1,9,12,0,114,800,528,8.36541748,17.49474487,1002,144,0
2006,1,9,13,0,113,790,507,8.794250488,17.93010864,1002,179,0
2006,1,9,14,0,105,742,425,8.400665283,17.53060303,1002,237,0
2006,1,9,15,0,89,639,294,6.728942871,15.83348999,1001,258,0
2006,1,9,16,0,60,421,132,4.088287354,13.15184937,1002,329,0
2006,1,9,17,0,0,0,0,2.359558105,11.39522705,1002,351,0
2006,1,9,18,0,0,0,0,1.59362793,10.61657104,1003,2,0
2006,1,9,19,0,0,0,0,0.996765137,10.00957642,1003,16,1
2006,1,9,20,0,0,0,0,0.532806396,9.537652588,1003,31,1
2006,1,9,21,0,0,0,0,0.148529053,9.146661377,1003,47,0
2006,1,9,22,0,0,0,0,-0.20425415,8.787683105,1003,48,0
2006,1,9,23,0,0,0,0,-0.582580566,8.402612305,1004,359,0
2006,1,10,0,0,0,0,0,-1.003845215,7.973779297,1004,326,0
2006,1,10,1,0,0,0,0,-1.496307373,7.472375488,1003,319,0
2006,1,10,2,0,0,0,0,-2.03994751,6.918695068,1003,315,0
2006,1,10,3,0,0,0,0,-2.513977051,6.435784912,1002,312,0
2006,1,10,4,0,0,0,0,-2.978820801,5.961907959,1002,315,0
2006,1,10,5,0,0,0,0,-3.421051025,5.510919189,1002,320,0
2006,1,10,6,0,0,0,0,-3.798614502,5.12557373,1003,327,1
2006,1,10,7,0,0,0,0,-3.302337646,5.631799316,1003,326,0
2006,1,10,8,0,34,0,34,0.00592041,9.001672363,1003,305,0
2006,1,10,9,0,109,208,167,2.629821777,11.66973267,1003,265,0
2006,1,10,10,0,102,720,392,5.382232666,14.46590576,1003,244,0
2006,1,10,11,0,112,780,490,6.858306885,15.96480713,1002,261,0
2006,1,10,12,0,235,202,340,7.594329834,16.71212158,1001,274,0
2006,1,10,13,0,113,785,507,7.681335449,16.80056152,1000,290,0
2006,1,10,14,0,168,358,323,7.02923584,16.13857422,1000,299,1
2006,1,10,15,0,133,155,183,5.617584229,14.70528564,1000,299,1
2006,1,10,16,0,65,124,87,2.944152832,11.98973999,1000,300,1
2006,1,10,17,0,0,0,0,1.589416504,10.61275635,1000,303,2
2006,1,10,18,0,0,0,0,1.020355225,10.03408203,1000,307,1
2006,1,10,19,0,0,0,0,0.552703857,9.558435059,1000,307,1
2006,1,10,20,0,0,0,0,0.201324463,9.200952148,1000,302,1
2006,1,10,21,0,0,0,0,-0.036773682,8.958764648,1000,285,0
2006,1,10,22,0,0,0,0,-0.167114258,8.826226807,1000,268,1
2006,1,10,23,0,0,0,0,-0.665740967,8.31875,1000,266,1
2006,1,11,0,0,0,0,0,-1.286224365,7.687127686,1000,266,1
2006,1,11,1,0,0,0,0,-1.637817383,7.329187012,999,260,1
2006,1,11,2,0,0,0,0,-1.80947876,7.154321289,999,251,1
2006,1,11,3,0,0,0,0,-1.953216553,7.008050537,998,248,1
2006,1,11,4,0,0,0,0,-1.975402832,6.985437012,998,252,1
2006,1,11,5,0,0,0,0,-1.853851318,7.109124756,999,259,2
2006,1,11,6,0,0,0,0,-1.810546875,7.153161621,999,259,2
2006,1,11,7,0,0,0,0,-1.02053833,7.957574463,1000,249,1
2006,1,11,8,0,34,0,34,1.637207031,10.66137085,1000,234,1
2006,1,11,9,0,36,0,36,3.025787354,12.07271729,1000,223,1
2006,1,11,10,0,152,17,159,5.015136719,14.09349976,1000,231,1
2006,1,11,11,0,193,30,208,6.524780273,15.62661133,998,243,1
2006,1,11,12,0,165,1,165,7.150299072,16.26177368,998,262,1
2006,1,11,13,0,195,23,207,6.875610352,15.98290405,997,286,2
2006,1,11,14,0,190,89,229,6.143432617,15.23952637,998,302,2
2006,1,11,15,0,125,27,134,5.29864502,14.38173828,998,310,2
2006,1,11,16,0,48,0,48,4.261138916,13.32805786,997,311,2
2006,1,11,17,0,0,0,0,3.575134277,12.63115845,998,314,2
2006,1,11,18,0,0,0,0,3.106903076,12.15529785,999,317,2
2006,1,11,19,0,0,0,0,2.483856201,11.52208862,999,316,2
2006,1,11,20,0,0,0,0,1.583343506,10.60668335,999,318,3
2006,1,11,21,0,0,0,0,0.546295166,9.552087402,1000,321,2
2006,1,11,22,0,0,0,0,-0.344268799,8.646020508,999,325,2
2006,1,11,23,0,0,0,0,-1.027954102,7.950250244,999,329,2
2006,1,12,0,0,0,0,0,-1.156677246,7.819238281,999,331,2
2006,1,12,1,0,0,0,0,-1.140411377,7.835748291,999,325,2
2006,1,12,2,0,0,0,0,-1.297698975,7.675592041,999,315,2
2006,1,12,3,0,0,0,0,-1.677520752,7.288812256,999,307,2
2006,1,12,4,0,0,0,0,-2.038757324,6.920831299,999,304,2
2006,1,12,5,0,0,0,0,-2.251312256,6.704217529,999,303,1
2006,1,12,6,0,0,0,0,-2.486999512,6.464044189,999,298,1
2006,1,12,7,0,0,0,0,-2.530334473,6.419854736,999,288,1
2006,1,12,8,0,43,329,83,-1.585357666,7.382562256,999,275,1
2006,1,12,9,0,16,0,16,-0.382781982,8.606866455,999,265,1
2006,1,12,10,0,99,0,99,1.027069092,10.04113159,999,262,0
2006,1,12,11,0,164,3,166,3.316009521,12.36785278,998,266,0
2006,1,12,12,0,144,0,144,5.520996094,14.60759888,997,264,0
2006,1,12,13,0,143,0,143,6.209503174,15.30675659,996,283,0
2006,1,12,14,0,80,0,80,6.082794189,15.17809448,997,311,0
2006,1,12,15,0,130,42,144,4.995635986,14.07418213,996,333,1
2006,1,12,16,0,31,0,31,2.596496582,11.63701782,996,347,1
2006,1,12,17,0,0,0,0,1.108398438,10.12429199,997,1,1
2006,1,12,18,0,0,0,0,0.596557617,9.603723145,997,19,1
2006,1,12,19,0,0,0,0,0.235321045,9.236260986,997,54,0
2006,1,12,20,0,0,0,0,-0.052825928,8.943170166,997,105,0
2006,1,12,21,0,0,0,0,-0.302368164,8.689324951,996,134,1
2006,1,12,22,0,0,0,0,-0.548614502,8.438745117,996,147,1
2006,1,12,23,0,0,0,0,-0.806060791,8.176843262,995,150,2
2006,1,13,0,0,0,0,0,-1.0340271,7.944848633,995,149,2
2006,1,13,1,0,0,0,0,-1.142700195,7.83425293,995,146,2
2006,1,13,2,0,0,0,0,-1.160736084,7.816003418,995,147,3
2006,1,13,3,0,0,0,0,-1.208587646,7.767327881,994,154,3
2006,1,13,4,0,0,0,0,-1.352172852,7.621240234,994,161,3
2006,1,13,5,0,0,0,0,-1.563812256,7.40569458,994,167,3
2006,1,13,6,0,0,0,0,-1.833343506,7.131097412,994,170,3
2006,1,13,7,0,0,0,0,-1.35949707,7.61361084,995,172,3
2006,1,13,8,0,43,330,84,1.177001953,10.19439087,995,173,2
2006,1,13,9,0,78,0,78,3.594573975,12.65145264,994,172,2
2006,1,13,10,0,162,34,177,6.438934326,15.54003296,994,172,2
2006,1,13,11,0,203,37,221,8.757080078,17.89333496,993,179,2
2006,1,13,12,0,236,87,282,10.13088989,19.28786621,992,185,2
2006,1,13,13,0,197,405,404,10.6171875,19.78154907,992,190,2
2006,1,13,14,0,147,488,364,10.1583252,19.31578979,992,195,2
2006,1,13,15,0,135,207,204,8.793518066,17.93053589,991,203,2
2006,1,13,16,0,69,54,79,5.99395752,15.08867798,991,208,2
2006,1,13,17,0,0,0,0,4.031768799,13.09615479,991,210,2
2006,1,13,18,0,0,0,0,2.860839844,11.90657959,991,208,3
2006,1,13,19,0,0,0,0,1.762115479,10.78994141,991,201,3
